,region,year,variable,value,unit
0,Alberta,1990,GDP,80.63869684464098,Million 2005 USD
1,Alberta,1995,GDP,92.434023548053,Million 2005 USD
2,Alberta,2000,GDP,119.87315887553287,Million 2005 USD
6,BritishColumbia,1990,GDP,104.19687230959084,Million 2005 USD
7,BritishColumbia,1995,GDP,127.68584025570125,Million 2005 USD
8,BritishColumbia,2000,GDP,161.17288525084516,Million 2005 USD
12,Canada,1990,GDP,876.437632356035,Million 2005 USD
13,Canada,1995,GDP,990.496136609902,Million 2005 USD
14,Canada,2000,GDP,1224.41842631601,Million 2005 USD
18,Manitoba,1990,GDP,34.98709818269804,Million 2005 USD
19,Manitoba,1995,GDP,38.168276647294846,Million 2005 USD
20,Manitoba,2000,GDP,45.779949766614656,Million 2005 USD
24,NewBrunswick,1990,GDP,23.426287941438645,Million 2005 USD
25,NewBrunswick,1995,GDP,25.383872975556418,Million 2005 USD
26,NewBrunswick,2000,GDP,29.947041965871854,Million 2005 USD
30,NewfoundlandandLabrador,1990,GDP,18.273970644259517,Million 2005 USD
31,NewfoundlandandLabrador,1995,GDP,19.179529437935752,Million 2005 USD
32,NewfoundlandandLabrador,2000,GDP,21.06683787116548,Million 2005 USD
36,NorthwestTerritories,1990,GDP,1.1865555467864517,Million 2005 USD
37,NorthwestTerritories,1995,GDP,1.4005119231729353,Million 2005 USD
38,NorthwestTerritories,2000,GDP,1.6152282476992428,Million 2005 USD
42,NovaScotia,1990,GDP,28.816205343969052,Million 2005 USD
43,NovaScotia,1995,GDP,31.372927354104668,Million 2005 USD
44,NovaScotia,2000,GDP,37.26121683534473,Million 2005 USD
48,Nunavut,1990,GDP,0.678828416059988,Million 2005 USD
49,Nunavut,1995,GDP,0.8443229102387907,Million 2005 USD
50,Nunavut,2000,GDP,1.097221994941546,Million 2005 USD
54,Ontario,1990,GDP,325.867958955515,Million 2005 USD
55,Ontario,1995,GDP,370.1431796597437,Million 2005 USD
56,Ontario,2000,GDP,466.1852775212966,Million 2005 USD
60,PrinceEdwardIsland,1990,GDP,4.127348359961096,Million 2005 USD
61,PrinceEdwardIsland,1995,GDP,4.543584913914127,Million 2005 USD
62,PrinceEdwardIsland,2000,GDP,5.445410053446534,Million 2005 USD
66,Quebec,1990,GDP,221.45792070619575,Million 2005 USD
67,Quebec,1995,GDP,244.02882519541888,Million 2005 USD
68,Quebec,2000,GDP,293.55620237498005,Million 2005 USD
72,Saskatchewan,1990,GDP,31.895036814350142,Million 2005 USD
73,Saskatchewan,1995,GDP,34.282221129247674,Million 2005 USD
74,Saskatchewan,2000,GDP,40.20374133876205,Million 2005 USD
78,Yukon,1990,GDP,0.8848522905695559,Million 2005 USD
79,Yukon,1995,GDP,1.0290206595199483,Million 2005 USD
80,Yukon,2000,GDP,1.21425421950928,Million 2005 USD
