,node,commodity,level,year,time,value,unit
0,Alberta,i_feed,useful,2020,year,5.733169484530781,Gwa
1,Alberta,i_feed,useful,2025,year,5.839679936406331,Gwa
2,Alberta,i_feed,useful,2030,year,5.89112965210376,Gwa
3,Alberta,i_feed,useful,2035,year,6.134507588397941,Gwa
4,Alberta,i_feed,useful,2040,year,6.372088808657709,Gwa
5,Alberta,i_feed,useful,2045,year,6.572666747358545,Gwa
6,Alberta,i_feed,useful,2050,year,6.828691656150452,Gwa
7,Alberta,i_feed,useful,2055,year,7.09468949624125,Gwa
8,Alberta,i_feed,useful,2060,year,7.371048742952192,Gwa
9,Alberta,i_spec,useful,2020,year,8.2328132927448,Gwa
10,Alberta,i_spec,useful,2025,year,9.267820903094876,Gwa
11,Alberta,i_spec,useful,2030,year,9.797057331303906,Gwa
12,Alberta,i_spec,useful,2035,year,10.309487569761542,Gwa
13,Alberta,i_spec,useful,2040,year,10.654173008625063,Gwa
14,Alberta,i_spec,useful,2045,year,10.915461694571285,Gwa
15,Alberta,i_spec,useful,2050,year,11.047057331303906,Gwa
16,Alberta,i_spec,useful,2055,year,11.180239470934126,Gwa
17,Alberta,i_spec,useful,2060,year,11.315027240170904,Gwa
18,Alberta,i_therm,useful,2020,year,7.173072105955306,Gwa
19,Alberta,i_therm,useful,2025,year,7.165120449580609,Gwa
20,Alberta,i_therm,useful,2030,year,7.099220105198631,Gwa
21,Alberta,i_therm,useful,2035,year,7.388691835973488,Gwa
22,Alberta,i_therm,useful,2040,year,7.670620308490776,Gwa
23,Alberta,i_therm,useful,2045,year,7.932171978008089,Gwa
24,Alberta,i_therm,useful,2050,year,8.260194396457123,Gwa
25,Alberta,i_therm,useful,2055,year,8.60178166288266,Gwa
26,Alberta,i_therm,useful,2060,year,8.957494730104617,Gwa
27,Alberta,rc_spec,useful,2020,year,3.431950786402841,Gwa
28,Alberta,rc_spec,useful,2025,year,4.014142567224759,Gwa
29,Alberta,rc_spec,useful,2030,year,4.32648401826484,Gwa
30,Alberta,rc_spec,useful,2035,year,4.5928462709284625,Gwa
31,Alberta,rc_spec,useful,2040,year,4.793569254185693,Gwa
32,Alberta,rc_spec,useful,2045,year,5.023465246067986,Gwa
33,Alberta,rc_spec,useful,2050,year,5.279680365296803,Gwa
34,Alberta,rc_spec,useful,2055,year,5.548963393649272,Gwa
35,Alberta,rc_spec,useful,2060,year,5.831980842334325,Gwa
36,Alberta,rc_therm,useful,2020,year,3.758792364583854,Gwa
37,Alberta,rc_therm,useful,2025,year,4.452418685584055,Gwa
38,Alberta,rc_therm,useful,2030,year,4.834876340061456,Gwa
39,Alberta,rc_therm,useful,2035,year,5.041081419540644,Gwa
40,Alberta,rc_therm,useful,2040,year,5.232172416412848,Gwa
41,Alberta,rc_therm,useful,2045,year,5.439733679983432,Gwa
42,Alberta,rc_therm,useful,2050,year,5.648243907009165,Gwa
43,Alberta,rc_therm,useful,2055,year,5.86474653170214,Gwa
44,Alberta,rc_therm,useful,2060,year,6.089547910356641,Gwa
45,Alberta,transport,useful,2020,year,12.655377980720447,Gwa
46,Alberta,transport,useful,2025,year,14.280821917808218,Gwa
47,Alberta,transport,useful,2030,year,14.381976154236428,Gwa
48,Alberta,transport,useful,2035,year,14.405441400304413,Gwa
49,Alberta,transport,useful,2040,year,14.4853500761035,Gwa
50,Alberta,transport,useful,2045,year,14.67529173008625,Gwa
51,Alberta,transport,useful,2050,year,14.925164890918314,Gwa
52,Alberta,transport,useful,2055,year,15.179292590443888,Gwa
53,Alberta,transport,useful,2060,year,15.437747269814452,Gwa
54,BritishColumbia,i_feed,useful,2020,year,4.516005435740824,Gwa
55,BritishColumbia,i_feed,useful,2025,year,5.160744964499918,Gwa
56,BritishColumbia,i_feed,useful,2030,year,5.977696614236564,Gwa
57,BritishColumbia,i_feed,useful,2035,year,6.3096067223187475,Gwa
58,BritishColumbia,i_feed,useful,2040,year,6.679134011824971,Gwa
59,BritishColumbia,i_feed,useful,2045,year,7.03874697076447,Gwa
60,BritishColumbia,i_feed,useful,2050,year,7.193471355676716,Gwa
61,BritishColumbia,i_feed,useful,2055,year,7.3515968623207,Gwa
62,BritishColumbia,i_feed,useful,2060,year,7.5131982535015265,Gwa
63,BritishColumbia,i_spec,useful,2020,year,6.484969558599695,Gwa
64,BritishColumbia,i_spec,useful,2025,year,8.190322171486553,Gwa
65,BritishColumbia,i_spec,useful,2030,year,9.941019786910196,Gwa
66,BritishColumbia,i_spec,useful,2035,year,10.603754439370876,Gwa
67,BritishColumbia,i_spec,useful,2040,year,11.167554540842211,Gwa
68,BritishColumbia,i_spec,useful,2045,year,11.689497716894977,Gwa
69,BritishColumbia,i_spec,useful,2050,year,11.637176560121766,Gwa
70,BritishColumbia,i_spec,useful,2055,year,11.58508958821367,Gwa
71,BritishColumbia,i_spec,useful,2060,year,11.533235752979968,Gwa
72,BritishColumbia,i_therm,useful,2020,year,5.650213674802294,Gwa
73,BritishColumbia,i_therm,useful,2025,year,6.332086635378846,Gwa
74,BritishColumbia,i_therm,useful,2030,year,7.203539302756896,Gwa
75,BritishColumbia,i_therm,useful,2035,year,7.599589536016038,Gwa
76,BritishColumbia,i_therm,useful,2040,year,8.040236495860832,Gwa
77,BritishColumbia,i_therm,useful,2045,year,8.49465728720013,Gwa
78,BritishColumbia,i_therm,useful,2050,year,8.701443083861875,Gwa
79,BritishColumbia,i_therm,useful,2055,year,8.91326267579697,Gwa
80,BritishColumbia,i_therm,useful,2060,year,9.130238600893717,Gwa
81,BritishColumbia,rc_spec,useful,2020,year,4.419710806697108,Gwa
82,BritishColumbia,rc_spec,useful,2025,year,5.324074074074074,Gwa
83,BritishColumbia,rc_spec,useful,2030,year,6.390791476407914,Gwa
84,BritishColumbia,rc_spec,useful,2035,year,6.891806189751395,Gwa
85,BritishColumbia,rc_spec,useful,2040,year,7.171169457128361,Gwa
86,BritishColumbia,rc_spec,useful,2045,year,7.393138001014713,Gwa
87,BritishColumbia,rc_spec,useful,2050,year,7.619228817858954,Gwa
88,BritishColumbia,rc_spec,useful,2055,year,7.8522337566165525,Gwa
89,BritishColumbia,rc_spec,useful,2060,year,8.092364259231504,Gwa
90,BritishColumbia,rc_therm,useful,2020,year,4.840621637029451,Gwa
91,BritishColumbia,rc_therm,useful,2025,year,5.9053724410266435,Gwa
92,BritishColumbia,rc_therm,useful,2030,year,7.141754453063513,Gwa
93,BritishColumbia,rc_therm,useful,2035,year,7.564406488007205,Gwa
94,BritishColumbia,rc_therm,useful,2040,year,7.827318859375309,Gwa
95,BritishColumbia,rc_therm,useful,2045,year,8.005768889585513,Gwa
96,BritishColumbia,rc_therm,useful,2050,year,8.151111387244216,Gwa
97,BritishColumbia,rc_therm,useful,2055,year,8.299092537344304,Gwa
98,BritishColumbia,rc_therm,useful,2060,year,8.449760243883704,Gwa
99,BritishColumbia,transport,useful,2020,year,10.884703196347031,Gwa
100,BritishColumbia,transport,useful,2025,year,11.870560629122272,Gwa
101,BritishColumbia,transport,useful,2030,year,11.675228310502282,Gwa
102,BritishColumbia,transport,useful,2035,year,11.658105022831048,Gwa
103,BritishColumbia,transport,useful,2040,year,11.56646372399797,Gwa
104,BritishColumbia,transport,useful,2045,year,11.528094875697615,Gwa
105,BritishColumbia,transport,useful,2050,year,11.494165398274987,Gwa
106,BritishColumbia,transport,useful,2055,year,11.46033578205671,Gwa
107,BritishColumbia,transport,useful,2060,year,11.426605733131387,Gwa
108,Canada,i_feed,useful,2020,year,25.2077942651701,Gwa
109,Canada,i_feed,useful,2025,year,26.5296138021747,Gwa
110,Canada,i_feed,useful,2030,year,27.8528247281656,Gwa
111,Canada,i_feed,useful,2035,year,29.1843839880744,Gwa
112,Canada,i_feed,useful,2040,year,30.5173346369695,Gwa
113,Canada,i_feed,useful,2045,year,31.7709761136443,Gwa
114,Canada,i_feed,useful,2050,year,33.0246175903192,Gwa
115,Canada,i_feed,useful,2055,year,34.32772613235646,Gwa
116,Canada,i_feed,useful,2060,year,35.682253645943845,Gwa
117,Canada,i_spec,useful,2020,year,36.198313039066456,Gwa
118,Canada,i_spec,useful,2025,year,42.10394469812278,Gwa
