year,region,technology,value,unit,source
2006,Canada,Hydraulic turbine,72.644118,Gwa,https://www150.statcan.gc.ca/t1/tbl1/en/cv.action?pid=2510002201
2007,Canada,Hydraulic turbine,73.442973,Gwa,
2008,Canada,Hydraulic turbine,74.371981,Gwa,
2009,Canada,Hydraulic turbine,74.673138,Gwa,
2010,Canada,Hydraulic turbine,75.062499,Gwa,
2011,Canada,Hydraulic turbine,75.403484,Gwa,
2012,Canada,Hydraulic turbine,,Gwa,
2013,Canada,Hydraulic turbine,76.520368,Gwa,
2014,Canada,Hydraulic turbine,78.570149,Gwa,
2015,Canada,Hydraulic turbine,79.2139,Gwa,
2016,Canada,Hydraulic turbine,80.448736,Gwa,
2017,Canada,Hydraulic turbine,80.763622,Gwa,
2006,Canada,Wind power turbine,1.470499,Gwa,
2007,Canada,Wind power turbine,1.824349,Gwa,
2008,Canada,Wind power turbine,2.228609,Gwa,
2009,Canada,Wind power turbine,3.026259,Gwa,
2010,Canada,Wind power turbine,3.972559,Gwa,
2011,Canada,Wind power turbine,4.476709,Gwa,
2012,Canada,Wind power turbine,,Gwa,
2013,Canada,Wind power turbine,6.716982,Gwa,
2014,Canada,Wind power turbine,8.495912,Gwa,
2015,Canada,Wind power turbine,11.128205,Gwa,
2016,Canada,Wind power turbine,11.974153,Gwa,
2017,Canada,Wind power turbine,12.402715,Gwa,
2006,Canada,Tidal power turbine,0.0037,Gwa,
2007,Canada,Tidal power turbine,0.02,Gwa,
2008,Canada,Tidal power turbine,0.02,Gwa,
2009,Canada,Tidal power turbine,0.02,Gwa,
2010,Canada,Tidal power turbine,0.02,Gwa,
2011,Canada,Tidal power turbine,0.02,Gwa,
2012,Canada,Tidal power turbine,,Gwa,
2013,Canada,Tidal power turbine,0.02,Gwa,
2014,Canada,Tidal power turbine,0.02,Gwa,
2015,Canada,Tidal power turbine,0.02,Gwa,
2016,Canada,Tidal power turbine,0.02,Gwa,
2017,Canada,Tidal power turbine,0.02,Gwa,
2007,Canada,Solar power,0,Gwa,
2008,Canada,Solar power,,Gwa,
2009,Canada,Solar power,,Gwa,
2010,Canada,Solar power,0.1084,Gwa,
2011,Canada,Solar power,0.143612,Gwa,
2012,Canada,Solar power,,Gwa,
2013,Canada,Solar power,0.171112,Gwa,
2014,Canada,Solar power,0.264659,Gwa,
2015,Canada,Solar power,1.874745,Gwa,
2016,Canada,Solar power,2.085908,Gwa,
2017,Canada,Solar power,2.297863,Gwa,
2006,Canada,Total thermal,48.885087,Gwa,
2007,Canada,Total thermal,49.06093,Gwa,
2008,Canada,Total thermal,48.713829,Gwa,
2009,Canada,Total thermal,51.896636,Gwa,
2010,Canada,Total thermal,51.365024,Gwa,
2011,Canada,Total thermal,50.628016,Gwa,
2012,Canada,Total thermal,,Gwa,
2013,Canada,Total thermal,47.49384,Gwa,
2014,Canada,Total thermal,47.737294,Gwa,
2015,Canada,Total thermal,49.159798,Gwa,
2016,Canada,Total thermal,49.846685,Gwa,
2017,Canada,Total thermal,49.729638,Gwa,
2006,Canada,Conventional steam turbine,25.768798,Gwa,
2007,Canada,Conventional steam turbine,25.987248,Gwa,
2008,Canada,Conventional steam turbine,25.910768,Gwa,
2009,Canada,Conventional steam turbine,27.142193,Gwa,
2010,Canada,Conventional steam turbine,25.491031,Gwa,
2011,Canada,Conventional steam turbine,24.732978,Gwa,
2012,Canada,Conventional steam turbine,,Gwa,
2013,Canada,Conventional steam turbine,20.589158,Gwa,
2014,Canada,Conventional steam turbine,21.068218,Gwa,
2015,Canada,Conventional steam turbine,21.293778,Gwa,
2016,Canada,Conventional steam turbine,21.469335,Gwa,
2017,Canada,Conventional steam turbine,21.295779,Gwa,
2006,Canada,Nuclear steam turbine,13.345,Gwa,
2007,Canada,Nuclear steam turbine,13.345,Gwa,
2008,Canada,Nuclear steam turbine,13.345,Gwa,
2009,Canada,Nuclear steam turbine,12.665,Gwa,
2010,Canada,Nuclear steam turbine,12.665,Gwa,
2011,Canada,Nuclear steam turbine,13.345,Gwa,
2012,Canada,Nuclear steam turbine,,Gwa,
2013,Canada,Nuclear steam turbine,14.033,Gwa,
2014,Canada,Nuclear steam turbine,14.033,Gwa,
2015,Canada,Nuclear steam turbine,14.033,Gwa,
2016,Canada,Nuclear steam turbine,14.033,Gwa,
2017,Canada,Nuclear steam turbine,14.033,Gwa,
2006,Canada,Combustion turbine,9.160533,Gwa,
2007,Canada,Combustion turbine,8.988238,Gwa,
2008,Canada,Combustion turbine,8.710726,Gwa,
2009,Canada,Combustion turbine,11.291696,Gwa,
2010,Canada,Combustion turbine,12.406238,Gwa,
2011,Canada,Combustion turbine,11.746501,Gwa,
2012,Canada,Combustion turbine,,Gwa,
2013,Canada,Combustion turbine,11.949596,Gwa,
2014,Canada,Combustion turbine,11.692141,Gwa,
2015,Canada,Combustion turbine,12.724685,Gwa,
2016,Canada,Combustion turbine,13.167708,Gwa,
2017,Canada,Combustion turbine,13.205566,Gwa,
2006,Canada,Internal combustion turbine,0.610756,Gwa,
2007,Canada,Internal combustion turbine,0.740444,Gwa,
2008,Canada,Internal combustion turbine,0.747335,Gwa,
2009,Canada,Internal combustion turbine,0.797747,Gwa,
2010,Canada,Internal combustion turbine,0.802755,Gwa,
2011,Canada,Internal combustion turbine,0.803537,Gwa,
2012,Canada,Internal combustion turbine,,Gwa,
2013,Canada,Internal combustion turbine,0.922086,Gwa,
2014,Canada,Internal combustion turbine,0.943935,Gwa,
2015,Canada,Internal combustion turbine,1.108335,Gwa,
2016,Canada,Internal combustion turbine,1.176642,Gwa,
2017,Canada,Internal combustion turbine,1.195293,Gwa,
2006,Newfoundland and Labrador,Hydraulic turbine,6.77545,Gwa,
2007,Newfoundland and Labrador,Hydraulic turbine,6.7768,Gwa,
2008,Newfoundland and Labrador,Hydraulic turbine,6.7768,Gwa,
2009,Newfoundland and Labrador,Hydraulic turbine,6.78105,Gwa,
2010,Newfoundland and Labrador,Hydraulic turbine,6.78105,Gwa,
2011,Newfoundland and Labrador,Hydraulic turbine,6.7887,Gwa,
2012,Newfoundland and Labrador,Hydraulic turbine,,Gwa,
2013,Newfoundland and Labrador,Hydraulic turbine,6.78105,Gwa,
2014,Newfoundland and Labrador,Hydraulic turbine,6.759905,Gwa,
2015,Newfoundland and Labrador,Hydraulic turbine,6.760115,Gwa,
2016,Newfoundland and Labrador,Hydraulic turbine,6.761915,Gwa,
2017,Newfoundland and Labrador,Hydraulic turbine,6.761915,Gwa,
2007,Newfoundland and Labrador,Wind power turbine,0,Gwa,
2008,Newfoundland and Labrador,Wind power turbine,,Gwa,
2009,Newfoundland and Labrador,Wind power turbine,0.027,Gwa,
2010,Newfoundland and Labrador,Wind power turbine,0.027,Gwa,
2011,Newfoundland and Labrador,Wind power turbine,0.027,Gwa,
2012,Newfoundland and Labrador,Wind power turbine,,Gwa,
2013,Newfoundland and Labrador,Wind power turbine,0.054,Gwa,
2014,Newfoundland and Labrador,Wind power turbine,0.05439,Gwa,
2015,Newfoundland and Labrador,Wind power turbine,0.05439,Gwa,
2016,Newfoundland and Labrador,Wind power turbine,0.05439,Gwa,
2017,Newfoundland and Labrador,Wind power turbine,0.05439,Gwa,
2006,Newfoundland and Labrador,Total thermal,0.716933,Gwa,
2007,Newfoundland and Labrador,Total thermal,0.557035,Gwa,
2008,Newfoundland and Labrador,Total thermal,0.557035,Gwa,
2009,Newfoundland and Labrador,Total thermal,0.582,Gwa,
2010,Newfoundland and Labrador,Total thermal,0.5842,Gwa,
2011,Newfoundland and Labrador,Total thermal,0.582103,Gwa,
2012,Newfoundland and Labrador,Total thermal,,Gwa,
2013,Newfoundland and Labrador,Total thermal,0.585688,Gwa,
2014,Newfoundland and Labrador,Total thermal,0.591369,Gwa,
2015,Newfoundland and Labrador,Total thermal,0.591369,Gwa,
2016,Newfoundland and Labrador,Total thermal,0.588209,Gwa,
2017,Newfoundland and Labrador,Total thermal,0.587992,Gwa,
2006,Newfoundland and Labrador,Conventional steam turbine,0.49,Gwa,
2007,Newfoundland and Labrador,Conventional steam turbine,0.49,Gwa,
2008,Newfoundland and Labrador,Conventional steam turbine,0.49,Gwa,
2009,Newfoundland and Labrador,Conventional steam turbine,0.49,Gwa,
2010,Newfoundland and Labrador,Conventional steam turbine,0.49,Gwa,
2011,Newfoundland and Labrador,Conventional steam turbine,0.5138,Gwa,
2012,Newfoundland and Labrador,Conventional steam turbine,,Gwa,
2013,Newfoundland and Labrador,Conventional steam turbine,0.49,Gwa,
2014,Newfoundland and Labrador,Conventional steam turbine,0.49,Gwa,
2015,Newfoundland and Labrador,Conventional steam turbine,0.49,Gwa,
2016,Newfoundland and Labrador,Conventional steam turbine,0.49,Gwa,
2017,Newfoundland and Labrador,Conventional steam turbine,0.49,Gwa,
2006,Newfoundland and Labrador,Combustion turbine,0.193,Gwa,
2007,Newfoundland and Labrador,Combustion turbine,0.043,Gwa,
2008,Newfoundland and Labrador,Combustion turbine,0.043,Gwa,
2009,Newfoundland and Labrador,Combustion turbine,0.043,Gwa,
2010,Newfoundland and Labrador,Combustion turbine,0.043,Gwa,
2011,Newfoundland and Labrador,Combustion turbine,0.043,Gwa,
2012,Newfoundland and Labrador,Combustion turbine,,Gwa,
2013,Newfoundland and Labrador,Combustion turbine,0.043,Gwa,
