Model,Scenario,Region,Variable,Unit,2015.0
MESSAGEix,none,Alberta,bio_ppl,Gwa,0.245262557077626
MESSAGEix,none,Alberta,biomass_i,Gwa,0.8768773880159769
MESSAGEix,none,Alberta,biomass_nc,Gwa,0.6842501180035369
MESSAGEix,none,Alberta,biomass_rc,Gwa,0.1996349532283824
MESSAGEix,none,Alberta,biomass_t_d,Gwa,1.974053933124727
MESSAGEix,none,Alberta,coal_exp,Gwa,16.065023923778842
MESSAGEix,none,Alberta,coal_extr,Gwa,28.757098887181776
MESSAGEix,none,Alberta,coal_extr_mpen,Gwa,28.757098887181776
MESSAGEix,none,Alberta,coal_fs,Gwa,0.05022358017163823
MESSAGEix,none,Alberta,coal_i,Gwa,0.9073006560899629
MESSAGEix,none,Alberta,coal_imp,Gwa,4.504799931760714
MESSAGEix,none,Alberta,coal_ppl,Gwa,4.72351598173516
MESSAGEix,none,Alberta,coal_rc,Gwa,0.28836159910766346
MESSAGEix,none,Alberta,coal_t_d,Gwa,1.311644401961548
MESSAGEix,none,Alberta,elec_exp,Gwa,-0.023972602739726
MESSAGEix,none,Alberta,elec_i,Gwa,-0.0033803522940889733
MESSAGEix,none,Alberta,elec_imp,Gwa,0.0573059360730594
MESSAGEix,none,Alberta,elec_t_d,Gwa,-0.2042378511978371
MESSAGEix,none,Alberta,elec_trp,Gwa,0.0120497210502283
MESSAGEix,none,Alberta,eth_bio,Gwa,0.25545065542858714
MESSAGEix,none,Alberta,eth_exp,Gwa,0.04260987862089744
MESSAGEix,none,Alberta,eth_ic_trp,Gwa,0.4098614844415659
MESSAGEix,none,Alberta,eth_imp,Gwa,0.19700332294247644
MESSAGEix,none,Alberta,foil_exp,Gwa,0.02027877980575166
MESSAGEix,none,Alberta,foil_fs,Gwa,0.013841983626966457
MESSAGEix,none,Alberta,foil_i,Gwa,0.0032131900847169937
MESSAGEix,none,Alberta,foil_imp,Gwa,0.01143380226496498
MESSAGEix,none,Alberta,foil_ppl,Gwa,0.0010711800864136
MESSAGEix,none,Alberta,foil_rc,Gwa,0.019012852688417372
MESSAGEix,none,Alberta,foil_t_d,Gwa,0.0217595284810334
MESSAGEix,none,Alberta,foil_trp,Gwa,0.0
MESSAGEix,none,Alberta,gas_cc,Gwa,1.43558
MESSAGEix,none,Alberta,gas_ct,Gwa,3.863175
MESSAGEix,none,Alberta,gas_exp,Gwa,35.57482964931948
MESSAGEix,none,Alberta,gas_extr_1,Gwa,36.3278095816025
MESSAGEix,none,Alberta,gas_extr_2,Gwa,63.77331406647283
MESSAGEix,none,Alberta,gas_extr_mpen,Gwa,100.10112364807499
MESSAGEix,none,Alberta,gas_fs,Gwa,2.3320968282041545
MESSAGEix,none,Alberta,gas_i,Gwa,8.190393183973287
MESSAGEix,none,Alberta,gas_imp,Gwa,11.909204022890922
MESSAGEix,none,Alberta,gas_ppl,Gwa,3.67751141552511
MESSAGEix,none,Alberta,gas_rc,Gwa,6.679848911197303
MESSAGEix,none,Alberta,gas_t_d,Gwa,31.287763623153772
MESSAGEix,none,Alberta,gas_trp,Gwa,0.0351978693835616
MESSAGEix,none,Alberta,heat_i,Gwa,0.13942522502635557
MESSAGEix,none,Alberta,heat_rc,Gwa,0.007232031622314702
MESSAGEix,none,Alberta,heat_t_d,Gwa,0.14665725664867027
MESSAGEix,none,Alberta,hydro_lc,Gwa,0.195091324200913
MESSAGEix,none,Alberta,land_use_biomass,Gwa,1.9984116363611173
MESSAGEix,none,Alberta,landfill_ele,Gwa,0.005267561494137872
MESSAGEix,none,Alberta,loil_exp,Gwa,0.19633582426510607
MESSAGEix,none,Alberta,loil_fs,Gwa,0.045272143044131685
MESSAGEix,none,Alberta,loil_i,Gwa,0.011894785078823192
MESSAGEix,none,Alberta,loil_imp,Gwa,0.034693941547302376
MESSAGEix,none,Alberta,loil_ppl,Gwa,0.000301672284726129
MESSAGEix,none,Alberta,loil_rc,Gwa,0.028980016417491643
MESSAGEix,none,Alberta,loil_t_d,Gwa,0.27139114980720364
MESSAGEix,none,Alberta,loil_trp,Gwa,12.6052766102283
MESSAGEix,none,Alberta,nuc_lc,Gwa,0.0
MESSAGEix,none,Alberta,oil_exp,Gwa,0.4901691893856321
